"","Temp","DewPt","CldCvr","WndSpd","Precip","Inflow"
"1",5.94,1.436366,0.58,1.219485,160.528,156.1173
"2",8.61,-0.28466,0.47,1.14862,65.786,167.7455
"3",12.28,0.856728,0.49,1.33843,24.13,173.1567
"4",11.61,2.696482,0.65,1.147778,178.816,273.1516
"5",20.28,5.699536,0.33,1.25673,2.286,233.4852
"6",23.83,8.275339,0.28,1.104325,0.508,128.4859
"7",25.83,7.42995,0.11,1.181639,1.524,100.8545
"8",27.39,6.203242,0.08,1.187045,0,91.18359
"9",24.17,6.103685,0.15,1.368146,9.144,98.50591
"10",19.06,6.284244,0.27,1.156408,18.542,94.86778
"11",11.17,3.995237,0.65,0.982657,289.052,139.431
"12",8.89,5.67735,0.8,0.970181,863.092,861.1784
"13",8.33,5.402067,0.83,0.83802,467.36,809.5998
"14",7.89,-0.08874,0.57,1.271663,409.448,616.4267
"15",12.11,1.804709,0.46,1.154606,4.064,409.4051
"16",15.39,5.869783,0.57,1.005004,40.64,349.7673
"17",19.11,9.592647,0.42,1.015236,95.758,336.1819
"18",24.61,8.558289,0.19,1.214819,28.956,182.7356
"19",28.11,11.32192,0.09,1.093331,4.318,128.4859
"20",25.78,9.061554,0.16,1.196657,0,114.2097
"21",23.11,7.735127,0.16,1.13288,4.826,110.8786
"22",16.84,6.151525,0.43,1.053082,123.698,132.6306
"23",13.17,2.340449,0.33,1.316003,11.938,123.7272
"24",8.44,-0.8939,0.4,1.276555,5.08,120.657
"25",5.89,-1.72594,0.51,1.307192,217.678,143.6832
"26",10.83,5.639324,0.71,1.128667,385.572,435.9345
"27",12.11,5.683801,0.75,0.803779,185.674,461.4442
"28",15.78,5.954558,0.55,1.0348,110.236,292.6625
"29",18.83,9.876086,0.53,0.850636,134.366,324.6688
"30",26.56,8.172604,0.28,1.024247,1.778,158.466
"31",27.56,7.936391,0.1,1.109551,0,117.8939
"32",25,7.509408,0.09,1.011031,0,102.6966
"33",23.44,10.32956,0.3,1.091289,155.956,122.2996
"34",15.56,9.2351,0.59,0.994211,214.63,181.4461
"35",10.72,2.867145,0.45,1.194955,146.05,179.4044
"36",7.17,4.087894,0.75,0.929332,258.572,291.9717
"37",7.83,4.379874,0.8,1.03506,329.184,408.9446
"38",11.17,7.94146,0.88,0.798115,782.066,1264.465
"39",9.78,3.468644,0.7,0.929332,283.21,607.4301
"40",14.94,5.593265,0.51,1.041628,225.806,663.8442
"41",20.5,10.74034,0.36,0.860848,58.42,368.8791
"42",23.33,12.02226,0.37,0.819398,154.94,248.8821
"43",27.83,14.01638,0.19,0.958167,23.114,158.8805
"44",29.22,12.51094,0.16,1.012833,4.318,129.407
"45",25.11,7.494093,0.23,1.1664,10.668,124.2031
"46",20.67,6.324721,0.27,1.123368,8.89,128.4859
"47",12.89,3.486819,0.54,0.94479,31.75,123.7272
"48",11.89,4.322578,0.67,0.914914,102.108,133.0912
"49",9.17,4.441114,0.74,0.841625,656.844,438.4181
"50",9.83,3.021941,0.59,0.83669,335.026,428.2865
"51",14.28,2.207052,0.45,0.88728,119.888,280.4586
"52",18.5,4.927138,0.52,1.11674,126.746,243.1716
"53",19,3.996058,0.34,0.999016,7.112,169.933
"54",26.39,6.2962,0.28,0.847332,1.27,128.0101
"55",29.61,7.940829,0.11,1.001419,0,107.7624
"56",26.72,9.455014,0.21,0.900496,5.842,97.63092
"57",22.67,7.633043,0.32,0.984519,199.898,124.6789
"58",20.39,5.610066,0.24,1.087324,0.762,107.3019
"59",13.89,-1.39449,0.26,1.167021,1.27,106.5957
"60",8.89,-1.29705,0.5,1.08372,70.612,113.2887
"61",6.67,2.323154,0.8,0.864453,315.214,185.1303
"62",9.89,2.616806,0.58,0.954412,304.546,445.622
"63",13.11,6.235657,0.68,0.860247,272.542,402.0367
"64",14.5,5.248041,0.58,0.719456,74.168,225.5642
"65",18.22,6.656622,0.54,0.789962,132.08,208.617
"66",28,9.540724,0.22,1.162055,0,152.2796
"67",29.78,10.83837,0.13,1.017639,0,103.1572
"68",27.28,7.054591,0.12,1.101141,0,95.78883
"69",24.72,6.232992,0.12,1.011211,0,96.12654
"70",18.33,5.464763,0.34,1.045273,13.462,104.5387
"71",11.28,5.328992,0.71,1.203025,210.566,151.8038
"72",8,3.318654,0.57,1.369668,331.216,294.7348
"73",6.94,4.261912,0.73,0.949156,220.98,186.0513
"74",11,4.684146,0.74,0.824053,165.354,439.5036
"75",10.72,4.475055,0.72,1.08372,216.154,330.6556
"76",16.11,4.654956,0.5,1.291793,24.892,238.4128
"77",17.5,6.826623,0.5,1.054885,84.328,217.3669
"78",26.89,11.47652,0.23,1.011832,25.4,145.1415
"79",29.17,9.44449,0.05,1.162415,5.334,101.3151
"80",27.61,10.98938,0.31,1.02665,1.27,94.86778
"81",22.83,6.47757,0.21,1.203025,9.652,93.74717
"82",18.56,4.349884,0.39,1.076511,31.75,102.2361
"83",11.44,1.94843,0.53,1.193714,291.846,158.466
"84",7.28,2.768839,0.73,1.008027,240.792,244.9983
"85",8.06,0.12743,0.42,1.360657,110.49,148.749
"86",8.5,4.283201,0.71,1.100733,527.558,638.8608
"87",10.5,3.933185,0.67,0.969581,231.394,321.4452
"88",17.72,5.888386,0.42,1.1335,20.828,283.145
"89",18.33,6.444036,0.47,0.914313,10.414,194.3408
"90",24.89,7.961192,0.18,1.12543,1.778,134.1964
"91",28.33,8.729782,0.11,1.252525,0,95.78883
"92",26.11,9.982804,0.16,1.081917,30.226,94.40726
"93",23.5,9.037517,0.14,1.014315,38.608,89.94018
"94",17.72,10.11202,0.49,1.085522,277.368,303.4848
"95",12.78,5.920365,0.53,0.975207,91.948,148.9485
"96",9.44,5.147398,0.45,1.134181,173.228,291.9717
"97",6.11,-0.55421,0.29,1.151002,101.6,177.7619
"98",13.22,8.744107,0.74,0.482194,177.038,462.9574
"99",10.44,3.023109,0.6,0.535852,233.68,303.4848
"100",11.61,5.374594,0.7,0.525159,355.346,776.6263
"101",19.17,10.90506,0.63,0.441537,50.038,346.3134
"102",23.67,8.028328,0.32,0.571095,5.842,163.7006
"103",25.67,8.64165,0.09,0.487794,0,122.9597
"104",25.89,8.726967,0.18,0.496805,0.254,106.3808
"105",24.28,9.731309,0.34,0.411561,4.572,103.7405
"106",17.56,10.07698,0.54,0.46797,97.028,118.3544
"107",10.44,6.590933,0.78,0.733113,417.322,232.2265
"108",6.33,3.535595,0.82,0.716673,41.402,137.2359
"109",6.72,2.79874,0.75,0.933537,223.012,274.0113
"110",11,-1.23817,0.22,1.14862,4.318,181.002
"111",11.17,1.352805,0.59,0.823002,75.946,163.9462
"112",15.28,1.154177,0.32,0.872783,8.636,173.2181
"113",18.33,4.865174,0.44,0.770738,25.4,138.1569
"114",22.78,9.02933,0.45,0.757943,35.814,150.852
"115",27.56,9.959896,0.11,0.829009,2.54,92.56516
"116",27.06,9.635474,0.17,0.990606,0,86.11784
"117",22.61,8.24433,0.11,0.931755,6.858,88.98843
"118",19.78,6.936206,0.37,0.853039,112.014,97.63092
"119",10.17,5.05114,0.63,1.129155,372.618,153.2314
"120",9.72,5.27022,0.7,1.38769,774.446,742.3634
"121",8,4.541877,0.75,1.093331,242.824,617.1011
"122",10.5,2.537708,0.46,0.927808,32.766,297.2512
"123",12.67,5.700398,0.57,1.053082,26.924,204.4723
"124",15.06,8.871311,0.73,0.964034,335.28,476.8257
"125",19.67,4.586866,0.35,1.106547,7.874,223.3537
"126",22.94,9.473913,0.29,1.014315,3.556,135.1482
"127",27.39,10.25695,0.12,1.155807,0,118.8149
"128",26.33,13.95685,0.28,1.076511,36.068,104.5387
"129",20.44,7.367886,0.13,1.113636,0,101.837
"130",19.11,6.166098,0.36,1.029053,2.54,105.4598
"131",11.5,7.802846,0.76,1.016798,560.832,237.9369
"132",5.28,1.582121,0.67,0.958167,60.452,158.8805
"133",6.89,1.956049,0.69,1.09213,340.868,331.1161
"134",8.11,2.519662,0.66,0.838685,228.854,307.9584
"135",11.67,4.925914,0.53,1.063895,96.774,410.3261
"136",17.39,5.973902,0.52,1.131638,47.498,338.8222
"137",21.5,7.252424,0.42,1.009229,0,181.9066
"138",25,5.61912,0.34,0.96093,1.778,125.1548
"139",25.33,8.457977,0.15,0.991808,0,104.5387
"140",27.89,10.36244,0.16,1.011632,5.08,95.78883
"141",24.83,9.259381,0.19,1.01804,9.398,98.03004
"142",19.89,4.293294,0.28,1.063895,0,98.09144
"143",13.67,6.587145,0.76,1.095634,417.576,256.9719
"144",9.17,4.142318,0.79,0.965375,306.578,415.3919
"145",8.39,3.83927,0.75,0.810987,379.476,339.8661
"146",10.61,4.204826,0.65,1.022917,26.924,382.3987
"147",10.33,3.775232,0.67,0.923925,285.75,462.8258
"148",9.67,4.822726,0.83,0.869058,259.588,474.9222
"149",19.28,8.753219,0.26,1.071104,33.02,429.2076
"150",23.17,12.4025,0.3,0.954722,56.388,252.689
"151",27.89,11.96077,0.14,1.028452,0.508,137.6964
"152",29,11.8851,0.17,1.13298,0,121.1176
"153",25.28,10.62299,0.17,1.081357,1.27,110.8786
"154",18.94,6.183925,0.37,1.111353,31.242,122.4991
"155",14.22,7.286462,0.67,1.021143,103.124,120.3961
"156",8.06,1.116548,0.46,1.336628,166.37,146.4463
"157",6.17,2.260886,0.7,0.997214,263.144,190.6566
"158",12.67,9.540457,0.73,0.987002,291.592,528.73
"159",13.78,6.981224,0.62,0.988203,150.622,343.5503
"160",16.33,2.89676,0.35,1.158951,10.922,211.288
"161",19.28,7.382112,0.44,0.9852,71.628,168.0909
"162",25.28,9.145647,0.3,1.057147,12.7,119.4443
"163",27.28,11.31918,0.15,1.045273,0,99.93353
"164",24.89,12.39688,0.45,1.033859,67.056,107.7624
"165",24.33,9.592433,0.25,0.998175,2.794,108.0233
"166",17.61,7.857689,0.5,0.978592,106.172,116.9728
"167",11.5,6.381056,0.74,0.799533,136.144,132.7688
"168",6.33,2.143044,0.77,0.803178,416.56,244.0773
"169",5.83,2.744238,0.83,0.940745,614.172,656.7061
"170",7.83,4.737852,0.87,0.788803,471.424,626.624
"171",12,3.942587,0.46,0.971984,99.568,401.1157
"172",14.33,6.064156,0.57,0.980173,119.38,518.7026
"173",22.39,7.860198,0.24,1.092731,1.016,374.8659
"174",23.28,11.97142,0.46,0.949136,17.018,192.7289
"175",28.67,10.58545,0.06,1.156408,0,128.4859
"176",28.39,6.333581,0.08,1.189448,0,108.2229
"177",25.17,9.45417,0.27,1.095013,1.524,121.8237
"178",16.33,5.237696,0.4,1.08372,42.672,125.2623
"179",12.67,5.053771,0.33,1.170746,53.34,125.6307
"180",9.67,4.772807,0.63,1.114357,566.674,431.9707
"181",9.61,5.065531,0.74,1.181038,866.902,1347.03
"182",11.33,5.328007,0.69,0.983676,96.266,440.5233
"183",12.39,2.686155,0.47,0.96057,102.616,374.4053
"184",13.39,-0.26415,0.51,1.000038,5.08,209.3845
"185",21.28,5.315978,0.4,1.032657,6.604,172.6962
"186",25,10.56258,0.35,0.987002,51.054,143.7139
"187",28.72,9.562232,0.06,1.119163,0,113.7492
"188",26.94,7.786046,0.01,1.086723,0,110.065
"189",24.11,3.426418,0.12,1.191231,0.508,106.1199
"190",17.5,4.6293,0.41,1.005024,96.52,122.0386
"191",12.11,7.171765,0.78,1.001279,653.288,311.2215
"192",6.56,2.91226,0.78,0.902299,416.56,454.5364
"193",7.72,2.251195,0.65,0.992408,207.518,473.4178
"194",9.94,2.784847,0.58,0.844006,5.588,284.5046
"195",11,2.698109,0.66,0.972584,270.764,482.6283
"196",13.89,4.071519,0.47,0.882094,38.354,396.8789
"197",17.61,7.577319,0.53,0.846431,72.136,327.8925
"198",22.89,10.08344,0.33,0.869058,20.32,234.13
"199",28.39,11.98912,0.08,0.980994,0.762,135.3938
"200",27.67,12.16608,0.15,0.897493,3.81,104.9992
"201",23.44,6.04308,0.11,1.149019,18.796,108.4992
"202",16.56,4.026036,0.38,0.950958,20.066,128.9465
"203",11.44,3.604915,0.49,0.737458,193.802,136.0999
"204",5.89,2.037839,0.67,0.869258,178.308,171.3146
"205",6.17,1.45774,0.57,1.002621,174.244,252.3667
"206",10.11,5.498084,0.75,0.886572,92.71,285.0145
"207",13.89,7.200756,0.6,0.848834,136.144,436.576
"208",14.28,3.867132,0.43,0.990726,135.128,333.5876
"209",19.89,8.096565,0.35,0.896892,65.532,183.2882
"210",25.67,10.87479,0.26,0.924305,39.624,136.5758
"211",28.22,11.94653,0.13,0.924526,0,108.6834
"212",27.72,11.40213,0.22,0.881874,2.032,107.7624
"213",22.17,9.680386,0.26,0.959689,36.068,108.9751
"214",16.83,10.50628,0.47,0.879471,114.808,131.7096
"215",9.56,6.506205,0.68,0.87899,339.344,208.9086
"216",4.33,0.257099,0.66,0.801376,167.132,234.4063
"217",5.83,2.07538,0.65,0.941346,481.584,473.8783
"218",10.5,7.017694,0.79,0.965719,352.552,529.2398
"219",9.78,3.846464,0.64,0.926929,213.614,414.0103
"220",16.17,5.160172,0.38,0.959689,0.508,263.1583
"221",21.94,9.39627,0.48,0.887881,21.844,220.1301
"222",25.89,9.265286,0.21,0.962792,5.334,128.9618
"223",28.11,12.15709,0.07,0.946753,4.064,108.6834
"224",25.61,10.44069,0.12,0.959969,0,98.09144
"225",22.72,10.59387,0.22,0.975828,34.798,102.7887
"226",16.94,8.885905,0.5,1.005024,128.27,143.6832
"227",10.11,7.137518,0.88,0.932375,701.548,750.4532
"228",8.44,6.492366,0.86,0.838621,297.18,544.7989
"229",7.83,3.304077,0.71,1.013434,405.384,966.6382
"230",9.06,3.052018,0.56,0.878591,115.824,354.3561
"231",12.11,7.069823,0.74,1.05909,483.108,818.8102
"232",14.06,5.678442,0.53,0.883336,148.082,570.097
"233",19.83,6.386379,0.32,0.790563,11.684,306.7084
"234",24.56,10.62354,0.25,0.954102,14.478,197.0118
"235",26.83,13.73312,0.18,1.027251,102.362,150.1305
"236",27.17,12.40159,0.15,1.151002,6.35,127.5649
"237",25.61,9.439257,0.04,1.087564,0,128.9618
"238",19.17,7.041346,0.3,1.085522,80.264,124.3412
"239",10.78,7.241456,0.48,0.983898,71.628,142.2863
"240",6.67,2.883109,0.74,1.027852,234.696,165.3278
"241",6.89,2.20093,0.53,1.111353,84.836,158.4199
"242",8.61,4.246881,0.71,1.059497,422.148,433.3852
"243",10.11,4.793377,0.69,1.229097,588.264,645.193
"244",11.22,3.754918,0.56,1.043491,100.33,392.1201
"245",20.56,6.946954,0.3,1.177434,0,365.1949
"246",24.61,9.455741,0.25,1.123568,7.874,220.8055
"247",26.67,13.40915,0.12,1.175031,14.478,132.1701
"248",25.39,13.34389,0.2,1.220686,11.938,117.8939
"249",25.94,11.95924,0.14,1.238408,0,122.7754
"250",16.22,8.578485,0.5,1.029053,198.882,150.1305
"251",10.39,3.77215,0.56,1.211716,54.61,141.3345
"252",8.61,4.485595,0.55,1.218884,106.172,135.3938
"253",8.39,1.986702,0.67,1.223089,18.796,129.8675
"254",9.56,3.312047,0.68,1.235083,232.41,186.6105
"255",10.94,1.882161,0.53,1.179837,79.756,200.7881
"256",13.28,4.113783,0.61,1.073908,145.288,186.0667
"257",22.11,4.881378,0.34,1.145595,0.762,140.4595
"258",24.56,6.089011,0.36,1.179436,0,106.5957
"259",28.44,11.93309,0.29,0.976189,0,99.01249
"260",24.94,13.33885,0.4,0.987002,138.938,114.2097
"261",24.89,12.80765,0.4,0.962172,43.434,108.0233
"262",20.11,7.237051,0.32,1.015236,1.778,108.2229
"263",14.67,7.531416,0.61,0.958447,39.624,109.451
"264",9.83,0.324415,0.44,1.049478,10.16,106.8413
"265",7.11,3.035353,0.6,1.068701,84.074,106.8413
"266",12.39,5.437879,0.69,0.912511,62.992,113.6998
"267",11.83,1.898818,0.57,1.007427,75.184,112.8281
"268",18.39,4.201206,0.51,1.021143,32.004,95.17479
"269",16.72,7.511773,0.62,0.88728,135.636,102.6966
"270",27.5,12.79378,0.53,0.967758,0.762,92.79542
"271",28.33,11.5169,0.11,0.995412,0.254,82.89418
"272",28,13.14434,0.31,0.931734,6.858,90.72307
"273",23,12.83805,0.4,0.929892,225.806,112.3062
"274",19,10.03129,0.46,0.814592,48.006,106.3808
"275",12.61,5.876725,0.71,0.787118,121.158,117.5408
"276",9.94,6.059347,0.71,0.83802,339.852,292.8927
"277",10.67,7.408885,0.81,0.96057,829.818,884.2045
"278",11.44,7.32079,0.79,0.87061,255.016,532.299
"279",14.89,10.14877,0.78,0.935339,395.986,567.8251
"280",14.44,8.940874,0.71,0.854781,270.002,433.0453
"281",20.78,7.14633,0.35,1.081317,5.08,261.5771
"282",24.78,9.700618,0.26,0.997555,6.35,152.7555
"283",28.89,13.0478,0.14,1.026049,1.016,119.2755
"284",28.17,12.90551,0.25,1.045273,0.254,105.4598
"285",23.17,10.41887,0.36,1.137846,127,113.7338
"286",22,7.606467,0.23,1.144994,0,103.1572
"287",11.78,3.61128,0.49,1.121085,74.93,109.451
"288",7.22,0.217181,0.51,1.005024,9.652,102.6966
"289",8.5,2.681867,0.67,1.095734,375.412,162.1041
"290",9.89,5.430931,0.82,0.7336,351.536,261.5607
"291",13.89,8.088306,0.59,0.868658,185.166,314.5373
"292",15,7.727923,0.61,0.869679,105.41,220.8055
"293",21.83,9.78584,0.31,0.976189,56.896,236.2484
"294",25.61,8.264401,0.18,0.933617,0,106.5957
"295",28.22,12.95487,0.24,0.976789,0.508,95.78883
"296",25.83,11.58532,0.26,0.934738,20.066,90.26255
"297",26.39,11.70812,0.13,1.020523,10.668,91.3678
"298",18.94,11.92877,0.58,0.859046,202.946,125.7228
"299",11.67,6.59212,0.69,0.94479,197.104,160.8454
"300",9.78,5.469215,0.62,1.042269,195.834,159.8015
"301",9.94,5.917517,0.69,1.14139,161.29,571.5093
"302",12.11,8.11021,0.83,0.973035,571.754,714.8307
"303",11.89,3.653207,0.51,0.988804,153.162,408.0235
"304",15.61,7.003358,0.61,0.994451,122.428,270.2964
"305",19.17,8.281628,0.49,0.801376,46.736,196.1828
"306",21.61,9.902351,0.4,0.832434,42.926,128.9618
"307",27.5,13.44502,0.16,0.907104,0,108.6834
"308",26.22,12.92111,0.1,0.881874,0,94.40726
"309",24.11,10.84414,0.26,0.87092,36.576,105.644
"310",19.61,8.912477,0.36,0.888482,21.082,99.01249
"311",12.78,3.846118,0.54,0.886439,24.384,103.7405
"312",10.17,5.698775,0.61,0.860247,392.938,162.5646
"313",9.5,7.236043,0.78,0.741303,382.27,221.5116
"314",11.83,6.546079,0.69,0.890563,192.532,282.975
"315",12.61,6.761402,0.75,0.834416,262.636,353.6818
"316",17.28,8.094962,0.5,0.857264,79.248,210.3363
"317",21.22,8.659456,0.48,0.753918,103.378,145.5253
"318",27.56,9.389565,0.27,0.815052,0,105.1681
"319",28.28,17.4046,0.1,0.906504,2.794,86.11784
"320",27.67,13.318,0.1,0.814592,0,76.90737
"321",24.94,11.76878,0.22,0.834917,30.48,85.65731
"322",16.61,9.307162,0.48,0.881874,166.37,106.3808
"323",13,8.776187,0.73,0.993209,543.306,502.9988
"324",9.67,6.161728,0.81,0.785156,383.032,610.1932
"325",6.44,1.181274,0.66,1.087925,223.52,338.945
"326",10,4.11149,0.68,0.97237,245.11,589.4039
"327",10.17,5.551587,0.72,0.923324,269.24,518.5491
"328",13.06,5.17693,0.52,1.191851,292.608,749.9774
"329",21.33,6.826275,0.35,1.085522,0,309.4716
"330",22.89,12.44382,0.46,0.936721,58.674,177.9768
"331",25.72,13.15258,0.23,0.965375,16.764,129.8675
"332",25.78,13.53448,0.26,1.00983,8.382,114.2097
"333",22.5,10.39188,0.38,1.085702,23.368,109.451
"334",17.44,8.97297,0.54,1.012833,151.384,134.0122
"335",10.06,5.929714,0.64,0.95286,220.218,169.887
"336",8.5,3.552439,0.59,1.134782,368.808,378.5869
"337",8.61,5.717245,0.75,0.83742,440.69,517.932
"338",11.33,7.357148,0.94,0.955742,525.78,862.0389
"339",12.39,7.489491,0.84,0.932936,877.57,1259.544
"340",13,5.899421,0.62,0.926168,175.006,542.4487
"341",20.22,10.20083,0.36,0.865053,61.976,474.9283
"342",23.72,10.3196,0.38,1.016177,6.096,306.6341
"343",25.22,10.66749,0.14,1.114357,6.35,171.9087
"344",26.33,13.79043,0.35,0.991808,40.132,137.1806
"345",23.94,12.65899,0.19,1.134121,62.738,136.7423
"346",18.78,10.91926,0.48,0.91191,82.804,137.9036
"347",10.72,7.508468,0.75,0.790843,434.086,406.3012
"348",8.22,6.149101,0.86,0.730489,600.964,661.583
"349",9,4.670253,0.6,1.177434,14.732,318.3643
"350",9,4.132265,0.7,0.846001,118.872,296.1958
"351",13.72,6.10623,0.65,0.946753,152.146,382.1329
"352",13.89,5.074876,0.49,0.767254,65.786,272.5473
"353",21.72,7.265955,0.5,0.809786,30.988,229.1379
"354",24.72,9.747625,0.18,0.91189,25.908,85.68111
"355",29.61,13.78802,0.14,1.0675,0,119.5057
"356",26.33,12.84566,0.12,0.877068,14.732,113.3117
"357",25.5,9.44416,0.16,1.083219,4.826,115.3042
"358",15.61,8.304273,0.57,0.701053,21.844,125.9024
"359",9.72,6.84657,0.79,0.795809,517.398,140.7492
"360",7.06,3.578797,0.51,0.803779,76.708,203.1966
"361",7.56,2.694952,0.62,0.828409,30.734,145.6312
"362",11.83,1.264182,0.48,1.00895,80.772,178.4476
"363",11.17,3.28386,0.53,0.697449,110.236,191.9783
"364",18.06,7.48342,0.46,0.860368,17.018,206.0391
"365",20.22,6.019973,0.41,0.740702,12.446,122.9689
"366",27.67,10.16861,0.35,0.824984,54.356,109.5747
"367",28.61,12.18475,0.36,0.85424,27.686,101.3657
"368",25.22,10.19206,0.18,0.869859,6.35,96.11119
"369",20.83,10.76525,0.45,0.752356,162.052,108.2185
"370",17.72,6.658604,0.41,0.833214,102.87,115.0801
"371",9.06,2.891023,0.58,0.70646,121.666,118.4926
"372",6.67,3.990199,0.65,0.579706,166.878,172.6317
"373",10.17,7.457243,0.88,0.491999,379.222,339.9858
"374",12.22,8.072955,0.7,0.849327,611.886,1241.806
"375",14.56,9.468018,0.74,0.789962,327.406,666.6165
"376",15.11,6.343062,0.55,0.849194,44.704,274.2271
"377",19.89,8.640625,0.51,0.727486,125.73,212.5222
"378",25.22,11.58044,0.27,0.897613,0,129.1236
"379",26.78,10.7994,0.333333,1.003822,0,117.8617
"380",23.33333,10.01836,0.396666,0.958467,0,107.8407
"381",19.89,7.39742,0.46,0.943549,116.84,119.5347
"382",17.67,8.456282,0.26,0.899295,36.322,119.0682
"383",12.67,4.380349,0.44,0.916236,8.89,110.5788
"384",7.5,4.100923,0.61,0.768335,89.662,117.0603
"385",6.28,1.564594,0.62,0.703456,232.918,151.9588
"386",9.61,3.255741,0.61,0.909186,228.346,255.9114
"387",10.89,4.742505,0.7,0.801976,338.328,416.0136
"388",17.39,6.353548,0.6,0.972724,5.588,177.2012
"389",22.28,8.757553,0.52,0.897493,48.26,132.3727
"390",26.28,9.922368,0.44,0.948515,2.032,96.90698
"391",25.61,10.24507,0.27,0.957566,5.334,103.5993
"392",27.33,10.53258,0.11,0.947954,0,79.23762
"393",23.39,8.561992,0.3,0.954722,0,96.83084
"394",20.11,9.371663,0.48,0.774343,11.938,96.27238
"395",11.22,6.267137,0.69,0.820639,98.044,107.1192
"396",7.17,2.565257,0.68,0.951308,458.978,312.5386
"397",7.5,3.127029,0.85,1.047075,282.448,277.5573
"398",12.17,2.548819,0.48,1.091422,2.54,185.0911
"399",13.61,2.299329,0.36,1.10895,8.636,165.7377
"400",15.39,6.731541,0.73,0.982797,114.808,152.0655
"401",17.5,8.166474,0.51,0.856643,151.384,164.1627
"402",23.89,12.2959,0.44,0.803879,40.894,124.284
"403",30.39,12.76741,0.15,0.943148,6.35,81.48958
"404",27.72,11.60905,0.15,0.884277,0,84.59811
"405",24.72,6.700765,0.13,1.071425,0,92.49087
"406",20.61,9.146498,0.35,0.761127,177.8,88.4619
"407",10.39,6.584129,0.73,0.849194,435.864,177.658
"408",7.44,2.538861,0.53,0.994211,162.306,136.324
"409",6.94,1.50771,0.55,1.081917,59.436,139.0273
"410",7.72,-0.18472,0.55,1.050186,33.02,146.8309
"411",11.11,6.41134,0.79,0.928731,377.698,691.7703
"412",17.22,9.823356,0.56,0.893888,54.102,313.7532
"413",19.17,8.43037,0.43,0.955163,33.274,168.3995
"414",24.5,11.96104,0.37,0.949756,3.302,105.2728
"415",26.78,9.169973,0.06,0.881273,0,82.34615
"416",25.28,10.24143,0.15,0.998416,3.81,85.76784
"417",21.83,12.18565,0.26,0.890164,131.318,100.2952
"418",16.11,9.130918,0.36,1.033258,153.924,145.9444
"419",12,6.071029,0.37,1.008108,34.29,108.4374
"420",8,2.152723,0.49,1.017639,0,96.44737
"421",7.22,3.142789,0.63,0.931734,270.002,197.7348
"422",7.72,1.569952,0.57,0.935124,84.582,140.4983
"423",12.89,5.020585,0.54,0.869258,76.454,217.3439
"424",18.11,8.733584,0.59,0.959068,49.022,118.0357
"425",18.56,8.161536,0.51,1.074709,324.104,227.8853
"426",23.89,9.935692,0.21,1.036042,4.572,150.7521
"427",28.72,13.10153,0.15,0.937742,0.254,95.68751
"428",26.44,12.67867,0.37,0.968379,27.94,91.72701
"429",23.83,10.15484,0.16,0.918098,13.462,89.6499
"430",18.56,4.621606,0.35,0.991808,50.546,91.26649
"431",10.89,3.905911,0.42,0.927409,16.51,94.08028
"432",4.61,-3.33508,0.37,0.899786,19.558,85.71258
"433",7.67,1.247218,0.57,0.872162,37.846,94.03423
"434",12.06,5.519491,0.6,0.757322,95.504,108.2851
"435",9.28,4.793067,0.69,1.046594,565.404,279.7816
"436",13.56,4.89339,0.58,0.900717,45.212,172.2045
"437",17.56,6.877621,0.47,0.95286,43.942,160.1515
"438",22.94,8.634307,0.25,1.023626,43.688,98.62488
"439",29.44,13.33459,0.16,0.949756,0.254,85.63429
"440",25.44,10.77156,0.29,0.996934,0,79.44025
"441",26.17,9.07895,0.16,0.956585,0,80.48456
"442",20.5,5.03132,0.25,0.920581,61.976,88.1119
"443",12.44,5.831997,0.5,0.798913,40.132,84.41053
"444",7.83,3.400539,0.65,0.90382,143.764,90.70465
"445",6.94,3.738868,0.71,0.757322,109.982,109.7887
"446",11.78,7.399799,0.67,0.891405,487.68,388.099
"447",12.94,8.226164,0.67,0.790843,255.016,270.6034
"448",16.39,8.917368,0.63,0.834917,144.78,216.4417
"449",23.94,10.51958,0.36,0.995072,1.524,127.6201
"450",24.5,13.5518,0.4,0.974587,172.212,97.02119
"451",26.72,13.37187,0.15,0.9361,3.556,89.57637
"452",27.56,10.72747,0.25,0.964655,0,73.80805
"453",23.61,7.472265,0.15,1.019281,0,84.46287
"454",18.83,10.20563,0.42,0.920581,235.712,93.18687
