"","unemp","gnp","consum","govinv","prinv"
"1",3.9,1106.1,681.4,180.4,210.3
"2",3.6,1116.3,682.9,181.3,211.5
"3",3.7,1125.5,688.3,178.7,206
"4",4.3,1112.4,688.7,181.6,183.2
"5",5.3,1105.9,696.9,196.3,160.2
"6",6.7,1114.3,695.3,205.1,168.3
"7",7.9,1103.3,700.8,215.2,163.4
"8",6.5,1148.2,711.9,217.6,201.9
"9",5.8,1181,725.8,226.6,226.1
"10",5,1225.3,754.8,231.4,241.6
"11",4.2,1260.2,740.5,228.4,270.3
"12",3.7,1286.6,754.4,225.9,241.6
"13",3.1,1320.4,740.3,221.4,249
"14",3.1,1349.8,747.8,229.6,233.8
"15",3.5,1356,752.3,246.4,216.2
"16",3.2,1369.2,754.7,285.9,219.9
"17",2.9,1365.9,768.1,318.3,199.9
"18",3.2,1378.2,772.7,348,206.6
"19",3,1406.8,790,366.8,220.8
"20",2.9,1431.4,799.8,377.1,222.3
"21",2.7,1444.9,803.7,387.6,225.1
"22",2.6,1438.2,803.1,396.7,217.4
"23",3.1,1426.6,803.3,398.3,201.5
"24",4.9,1406.8,807.1,411.9,203.2
"25",5.9,1401.2,814.3,420.2,206.4
"26",5.8,1418,827.3,420.4,215
"27",5.7,1438.8,842.3,423.5,225.7
"28",4.9,1469.6,855.3,397.4,245.1
"29",4.7,1485.7,869.1,379,260.8
"30",4,1505.5,878,372.4,264.3
"31",4.3,1518.7,892.7,364.9,268.9
"32",4,1515.7,895.1,364.8,262.1
"33",4,1522.6,896.5,358.3,258.3
"34",4.4,1523.7,899.2,363.2,257.1
"35",3.9,1540.6,908.4,359,253.8
"36",4.2,1553.3,914.3,360,248.6
"37",3.9,1552.4,916.2,364.9,245.3
"38",4.2,1561.5,922.6,362.4,249.2
"39",4.5,1537.3,925.7,367.6,230.3
"40",5.8,1506.1,916.5,379.4,210.9
"41",7.4,1514.2,926,381.6,206.2
"42",7.5,1550,939.7,382.1,222.2
"43",6.7,1586.7,949.4,381.2,246.4
"44",6,1606.4,964.3,386.5,261.7
"45",5.2,1637,977.2,392.7,283.1
"46",5.1,1629.5,986.3,397.1,262.4
"47",5.7,1643.4,989.6,404.7,274.1
"48",5.2,1671.6,997.1,399.3,288.7
"49",5.2,1666.8,1009.8,398.8,261.4
"50",5.5,1668.4,1005.7,397.1,258.3
"51",6.1,1654.1,1007.8,395.3,233.6
"52",6.6,1671.3,1009.5,395.2,238.3
"53",7,1692.1,1023.5,402.6,249.1
"54",7,1716.3,1024.6,406.8,270.5
"55",6.5,1754.9,1042.9,410.1,278.4
"56",5.8,1777.9,1053.6,419.7,287.7
"57",5.6,1796.4,1063.6,422.4,291.2
"58",5.4,1813.1,1072.8,426.7,294.7
"59",5.4,1810.1,1085.8,439.6,280.7
"60",5.7,1834.6,1094.1,446,291.9
"61",5.7,1860,1100.2,446.9,306.9
"62",5.6,1892.5,1115.5,452.1,315.6
"63",5.5,1906.1,1123.6,452.6,314
"64",5.6,1948.7,1145.2,455.2,324.7
"65",5.3,1965.4,1164.4,454.4,323.6
"66",4.9,1985.2,1184.8,464.1,324.5
"67",5.1,1993.7,1188,465.5,330.8
"68",4.9,2036.9,1208.2,469.2,362.1
"69",4.8,2066.4,1221.7,472.7,364.3
"70",4.4,2099.3,1242.3,470.3,369.9
"71",4.2,2147.6,1273.2,471.1,371.8
"72",4,2190.1,1287.6,469.6,396.9
"73",3.8,2195.8,1293.1,480.8,390.9
"74",3.8,2218.3,1305.5,491.5,389.1
"75",3.7,2229.2,1309.5,505.8,385.2
"76",3.9,2241.8,1319.4,513.5,368.7
"77",3.8,2255.2,1336.5,523.4,361.7
"78",3.8,2287.7,1343.3,541.9,378.8
"79",4,2300.6,1351.5,551.7,388.4
"80",3.7,2327.3,1378.1,569.2,387.7
"81",3.5,2366.9,1396.7,573.1,397.2
"82",3.7,2385.3,1421.5,579.1,392
"83",3.4,2383,1427.1,583.2,390.2
"84",3.4,2416.5,1442.9,590.1,412
"85",3.4,2419.8,1451.7,600.5,409.1
"86",3.5,2433.2,1459.9,601,419.5
"87",3.7,2423.5,1472,599,400.5
"88",3.9,2408.6,1481.5,593.2,379.9
"89",4.6,2406.5,1488.1,596,376.4
"90",5,2435.8,1501.3,590.4,390.6
"91",5.5,2413.8,1497.2,585.3,379.3
"92",5.9,2478.6,1520.9,578.6,415.5
"93",5.9,2478.4,1533,569.7,423.1
"94",6,2491.1,1541,571.6,425.9
"95",5.8,2491,1560.1,570.6,412.8
"96",5.8,2545.6,1581.8,567.6,439.5
"97",5.7,2595.1,1607.9,564,462.3
"98",5.6,2622.1,1629.9,566.9,473.8
"99",5.6,2671.3,1667.8,567.4,486
"100",4.9,2734,1689.9,576.4,515.7
"101",5,2741,1687.2,574.1,521.7
"102",4.8,2738.3,1694.5,566.1,511.4
"103",4.6,2762.8,1686.8,566.1,534.2
"104",5.1,2747.4,1667.5,572.5,501.1
"105",5.1,2755.2,1677.2,568.6,496.5
"106",5.5,2719.3,1686.7,555.8,465.5
"107",6,2695.4,1664.7,564.2,462.2
"108",8.1,2642.7,1677.1,567.8,370.6
"109",8.8,2669.6,1706,580.2,358.1
"110",8.6,2714.9,1723.9,572.6,394.4
"111",8.4,2752.7,1740.4,572.1,410.1
"112",7.9,2804.4,1777.5,577.5,444.7
"113",7.7,2816.9,1790.4,577.2,454.9
"114",7.8,2828.6,1809.9,582.1,452.8
"115",7.7,2856.8,1837.8,586.8,461.8
"116",7.5,2896,1863.7,582.4,492
"117",7.2,2942.7,1869,580.3,519
"118",6.9,3001.8,1888,579.4,546.9
"119",6.8,2994.1,1914.2,579,527.2
"120",6.4,3020.5,1923,580.2,544
"121",6.1,3115.9,1960.8,587.5,584.6
"122",6.2,3142.6,1970.3,594.9,583.3
"123",5.8,3181.6,1989.7,593.6,595.8
"124",5.9,3181.7,1997.5,592.5,582.2
"125",5.8,3178.7,1994.1,601.3,590.1
"126",5.7,3207.4,2007.9,611.5,575.7
"127",6,3201.3,2018,611.1,552.9
"128",6.3,3233.4,2015.4,606.7,556.7
"129",6.9,3157,1974.1,606.9,499.2
"130",7.8,3159.1,1996.3,611.3,467.7
"131",7.5,3199.2,2015.6,611.7,513.5
"132",7.5,3261.1,2022.9,617.8,552.3
"133",7.2,3250.2,2022.4,625.1,551.2
"134",7.2,3264.6,2031.5,621.1,560.7
"135",7.9,3219,2020,617.9,517.9
"136",8.6,3170.4,2031.2,626.3,464.2
"137",9.3,3179.9,2041,626.4,467.5
"138",9.8,3154.5,2051.8,630.2,448.6
"139",10.4,3159.3,2078.7,635.9,408.8
"140",10.4,3186.6,2094.2,634.6,427.1
"141",10.2,3258.3,2135.1,629.7,486.9
"142",9.4,3306.4,2163,642.5,524.8
"143",8.8,3365.1,2191.9,660.1,577.2
"144",8.1,3451.7,2212.1,649.2,655.2
"145",7.7,3498,2246.7,650.9,658.4
"146",7.4,3520.6,2257.3,653.6,664.2
"147",7.3,3535.2,2281.1,642.2,655.7
"148",7.4,3577.5,2319.1,653,634.3
"149",7.3,3599.2,2337.4,680.2,647.5
"150",7.3,3635.8,2375.9,684.5,618.1
"151",7.1,3662.4,2386.9,693.2,648
"152",6.7,3721.1,2410.9,705.5,676.1
"153",7.1,3704.6,2432.4,716.7,642.3
"154",7,3712.4,2464.4,749.8,625.1
"155",6.9,3733.6,2477.8,752.7,615.2
"156",6.7,3783,2478.3,744.1,646.3
"157",6.3,3823.5,2507.7,761.2,656.7
"158",6,3872.8,2536.5,765.2,671.7
"159",6,3935.6,2532.3,776,721.1
"160",5.8,3974.8,2570.8,776.6,707
"161",5.4,4010.7,2586.8,774.9,713.5
