"","time","cort1","cort2","cort3","cort4","thal1","thal2","cere1","cere2"
"1",1,-0.336,-0.088,-0.579,-0.221,-0.222,-0.046,-0.354,-0.028
"2",2,-0.192,-0.359,-0.475,-0.058,0.072,-0.039,-0.346,-0.032
"3",3,0.062,0.062,0.063,0.192,0.145,-0.256,-0.337,0.272
"4",4,0.128,0.221,0.234,-0.004,-0.104,-0.03,0.149,0.042
"5",5,0.358,0.199,0.388,0.255,0.035,-0.081,0.311,-0.08
"6",6,0.342,0.054,0.377,0.43,-0.005,0.047,0.403,-0.016
"7",7,0.608,0.051,0.262,0.16,0.367,-0.294,0.1,-0.078
"8",8,0.398,-0.113,0.119,0.114,0.312,0.052,0.017,0
"9",9,0.382,0.139,0.255,0.251,0.368,0.022,0.074,0.264
"10",10,0.328,0.182,0.091,0.052,0.459,0.405,0.068,0.128
"11",11,0.385,0.204,0.207,0.108,0.44,0.217,-0.054,0.193
"12",12,0.273,0.512,0.308,0.077,0.453,0.037,-0.151,-0.15
"13",13,0.417,0.102,0.434,-0.066,0.306,-0.106,0.101,0.355
"14",14,0.264,0.253,0.567,0.024,-0.024,0.078,-0.031,0.061
"15",15,0.404,0.334,0.312,0.14,0.149,0.166,0.01,0.044
"16",16,0.447,0.395,0.242,0.005,0.036,-0.044,0.101,0.279
"17",17,0.286,0.091,0.33,0.12,0.062,-0.25,0.038,-0.008
"18",18,0.25,0.327,0.248,0.194,0.087,-0.13,0.052,-0.046
"19",19,0.106,0.167,0.01,-0.21,-0.163,-0.214,0.021,0.058
"20",20,-0.112,-0.169,-0.171,0.159,-0.355,0.206,-0.088,-0.227
"21",21,-0.318,-0.117,-0.173,-0.232,-0.284,-0.018,0.007,-0.114
"22",22,-0.286,-0.127,-0.304,-0.088,-0.269,-0.016,-0.204,-0.099
"23",23,-0.284,-0.091,-0.035,0.03,-0.394,0.132,-0.108,-0.04
"24",24,-0.42,-0.361,-0.411,0.056,-0.405,0.03,-0.166,-0.114
"25",25,-0.317,-0.152,-0.302,-0.04,-0.033,0.131,-0.111,0.052
"26",26,-0.531,-0.397,-0.115,-0.09,0.102,0.304,-0.111,-0.234
"27",27,-0.497,-0.264,-0.24,-0.018,0.072,0.162,-0.004,0.082
"28",28,-0.291,-0.097,-0.267,-0.324,-0.057,-0.12,-0.026,-0.124
"29",29,-0.355,-0.394,-0.313,0.002,-0.233,0.117,-0.057,0.036
"30",30,-0.283,-0.444,-0.201,-0.462,-0.136,-0.109,-0.129,-0.177
"31",31,-0.304,-0.164,-0.304,-0.216,-0.231,-0.189,-0.149,-0.183
"32",32,-0.353,-0.198,-0.233,-0.216,-0.262,-0.032,-0.062,-0.222
"33",33,-0.316,-0.052,-0.196,0.018,-0.294,0.034,-0.105,0.048
"34",34,-0.347,-0.25,-0.184,-0.167,-0.099,-0.208,-0.056,-0.023
"35",35,0.165,-0.072,0.118,0.186,-0.061,0.009,0.048,0.033
"36",36,0.174,0.115,0.384,0.053,-0.071,-0.056,0.353,0.347
"37",37,0.417,0.273,0.203,0.001,0.296,-0.019,0.561,0.099
"38",38,0.34,0.037,0.459,0.229,0.007,-0.045,0.217,0.044
"39",39,0.366,0.037,0.169,0.261,0.308,-0.14,0.149,0.365
"40",40,0.427,0.086,0.202,0.398,0.062,0.017,-0.057,-0.15
"41",41,0.258,0.454,0.127,0.091,0.256,-0.095,0.035,0.123
"42",42,0.496,0.045,0.335,0.459,0.315,0.013,0.006,0.203
"43",43,0.383,0.315,0.35,0.178,0.262,-0.167,-0.089,0.077
"44",44,0.175,0.317,0.011,0.053,0.303,-0.09,0.059,0.284
"45",45,0.237,0.348,0.286,0.067,0.19,0.198,0.019,0.299
"46",46,0.383,0.226,0.172,0.138,0.241,-0.046,0.095,0.163
"47",47,0.354,0.234,0.044,0.047,0.094,0.057,0.114,-0.004
"48",48,0.325,0.316,0.369,0.103,0.25,0.105,0.054,0.364
"49",49,0.3,0.204,0.161,-0.016,-0.035,0.042,0.273,0.199
"50",50,0.148,0.178,0.182,-0.294,-0.025,0.216,0.189,0.052
"51",51,0.005,0.003,0.07,0.113,-0.062,0.1,0.167,-0.08
"52",52,-0.175,-0.063,-0.08,-0.155,-0.078,0.026,-0.155,-0.093
"53",53,-0.33,-0.171,-0.11,-0.05,-0.149,-0.099,-0.102,-0.393
"54",54,-0.37,-0.043,-0.258,-0.329,-0.067,-0.441,-0.001,-0.149
"55",55,-0.324,0.093,-0.223,-0.387,-0.173,-0.052,-0.214,-0.289
"56",56,-0.312,-0.363,-0.238,0.029,-0.304,0.191,-0.009,-0.2
"57",57,-0.475,-0.118,-0.177,-0.219,-0.438,0.102,-0.035,-0.294
"58",58,-0.537,-0.322,-0.084,-0.493,-0.229,0.142,0.019,-0.053
"59",59,-0.574,-0.125,-0.097,0.016,0.046,-0.044,-0.15,-0.332
"60",60,-0.668,-0.08,-0.242,-0.123,-0.182,-0.172,-0.135,-0.366
"61",61,-0.226,-0.232,-0.276,-0.114,-0.103,-0.088,-0.36,-0.567
"62",62,-0.403,-0.227,-0.405,-0.104,-0.194,-0.002,-0.345,-0.261
"63",63,-0.269,-0.139,-0.107,0.11,-0.048,0.08,-0.031,-0.362
"64",64,-0.256,-0.152,-0.251,-0.206,-0.226,0.202,-0.224,-0.11
"65",65,-0.24,-0.121,-0.454,0.154,0.122,-0.113,-0.15,-0.018
"66",66,-0.113,-0.19,-0.356,0.13,-0.021,0.027,-0.063,0.113
"67",67,0.248,-0.193,-0.036,-0.068,0.045,0.09,0.357,0.102
"68",68,0.248,0.01,0.208,0.156,-0.148,0.023,0.428,0.209
"69",69,0.462,0.032,0.152,-0.024,0.249,0.263,0.431,0.246
"70",70,0.422,0.103,0.405,0.229,0.123,0.116,0.407,0.421
"71",71,0.479,-0.029,0.232,0.148,0.052,0.212,0.184,0.231
"72",72,0.469,0.246,0.166,0.08,0.242,0.184,0.099,0.076
"73",73,0.328,0.319,0.178,0.079,0.391,-0.045,-0.119,0.31
"74",74,0.285,0.191,0.039,0.093,0.228,-0.283,-0.176,0.272
"75",75,0.36,0.357,0.173,0.135,0.159,-0.084,-0.25,0.12
"76",76,0.306,-0.002,0.267,0.066,0.396,-0.24,-0.192,0.261
"77",77,0.322,0.264,0.138,0.056,0.29,-0.204,0.056,0.244
"78",78,0.303,0.265,0.178,-0.076,0.294,-0.166,-0.095,0.127
"79",79,0.285,0.484,0.334,0.173,0.12,0.029,-0.135,0.297
"80",80,0.38,0.426,0.152,0.324,0.14,0.119,0.201,0.574
"81",81,0.357,0.49,0.356,0.018,0.018,0.025,0.126,0.268
"82",82,0.147,0.21,0.285,0.021,-0.014,-0.087,0.024,0.155
"83",83,-0.068,-0.107,-0.025,-0.258,-0.043,-0.236,-0.173,-0.27
"84",84,-0.233,-0.124,-0.028,0.202,-0.208,-0.2,0.077,-0.148
"85",85,-0.336,-0.071,-0.036,0.097,-0.197,0.173,-0.158,-0.37
"86",86,-0.464,-0.225,-0.018,-0.345,-0.165,-0.182,-0.007,-0.454
"87",87,-0.436,-0.441,0.021,0,-0.373,-0.009,0.018,-0.183
"88",88,-0.453,-0.304,0.009,0.075,-0.128,0.074,0.167,-0.23
"89",89,-0.623,-0.315,-0.175,0.008,-0.161,0.376,-0.116,-0.359
"90",90,-0.558,-0.148,-0.324,-0.079,-0.289,0.209,-0.198,-0.214
"91",91,-0.438,0.115,-0.305,-0.069,-0.315,0.417,0.021,-0.528
"92",92,-0.358,-0.483,-0.521,-0.393,-0.326,-0.022,-0.163,-0.319
"93",93,-0.397,-0.278,-0.233,-0.124,-0.11,0.03,-0.132,-0.258
"94",94,-0.562,-0.211,-0.11,-0.234,-0.095,0.26,-0.08,-0.219
"95",95,-0.374,-0.121,-0.351,-0.144,-0.113,-0.094,-0.03,-0.024
"96",96,-0.088,-0.17,-0.393,-0.242,-0.227,-0.134,0.039,-0.196
"97",97,-0.04,-0.075,-0.438,-0.12,0.099,-0.166,-0.097,0.22
"98",98,-0.005,-0.133,-0.286,-0.111,-0.007,-0.361,-0.071,0.197
"99",99,0.362,0.019,0.135,0.061,0.059,0.134,0.197,0.14
"100",100,0.524,-0.013,0.198,0.064,0.144,-0.307,0.335,0.23
"101",101,0.498,0.185,0.293,0.185,0.319,-0.077,0.523,0.005
"102",102,0.284,0.087,0.23,0.387,0.144,0.007,0.267,0.152
"103",103,0.423,0.14,0.039,0.046,0.203,-0.068,-0.075,0.347
"104",104,0.27,0.318,0.198,0.383,0.346,-0.094,-0.302,0.198
"105",105,0.343,0.14,0.465,0.191,0.286,-0.107,-0.363,0.028
"106",106,0.324,0.348,0.07,0.193,0.383,-0.109,-0.347,0.169
"107",107,0.457,0.421,0.26,0.018,0.333,-0.011,-0.099,0.23
"108",108,0.346,0.216,0.232,0.199,0.208,0.11,-0.166,0.492
"109",109,0.278,0.389,0.222,0.268,0.013,0.175,0.08,0.364
"110",110,0.14,0.014,0.137,0.389,-0.1,-0.206,0.161,0.058
"111",111,0.331,0.212,0.252,0.382,-0.128,-0.295,0.061,0.322
"112",112,0.231,0.142,0.136,0.162,0.01,0.091,0.059,0.304
"113",113,0.253,-0.042,0.184,-0.06,-0.07,-0.012,0.005,0.248
"114",114,0.236,0.035,0.162,-0.241,-0.076,0.214,0.309,-0.056
"115",115,-0.047,-0.276,0.005,-0.399,-0.131,0.038,0.02,-0.536
"116",116,-0.231,-0.281,-0.006,-0.289,0.025,0.267,-0.142,-0.262
"117",117,-0.303,-0.151,-0.31,-0.228,-0.071,0.525,0.053,-0.232
"118",118,-0.455,-0.296,0.056,-0.404,-0.098,0.122,0.051,-0.283
"119",119,-0.462,-0.21,-0.263,-0.42,-0.233,0.142,-0.107,-0.363
"120",120,-0.457,-0.064,-0.441,-0.398,-0.091,-0.035,0.064,-0.232
"121",121,-0.57,-0.404,-0.155,-0.238,-0.243,-0.102,-0.021,-0.203
"122",122,-0.442,-0.263,-0.259,-0.254,-0.301,0.025,-0.055,-0.176
"123",123,-0.545,-0.203,-0.205,-0.275,-0.155,-0.267,-0.132,-0.11
"124",124,-0.5,-0.306,-0.279,-0.04,-0.166,0.211,-0.006,-0.191
"125",125,-0.443,-0.213,-0.456,-0.103,-0.23,0.156,-0.124,-0.103
"126",126,-0.497,-0.526,-0.457,0.376,-0.17,0.126,-0.087,-0.253
"127",127,-0.401,-0.081,-0.294,-0.016,-0.186,0.047,-0.081,-0.398
"128",128,-0.419,-0.199,-0.394,0.222,-0.044,0.049,-0.031,-0.367
