"","tmort","rmort","cmort","tempr","rh","co","so2","no2","hycarb","o3","part"
"254",194.52,8.44,108.68,55.33,48.75,5.92,1.81,4.55,35.23,1.89,44.05
"255",191.33,10.2,107.23,63.17,44.3,13,3.18,11.18,54.4,2.56,65.68
"256",195.64,13.49,107.08,66,55.24,10.2,2.76,7.99,43.84,2.42,45.98
"257",205.55,14.61,113.39,80.86,33.44,19.76,4.66,22.2,72.79,6.99,77.13
"258",194.36,16.61,105.51,69.57,47.86,15.12,4.65,17.77,70.65,6.34,69.77
"259",203.44,17.08,111.9,54.85,68.34,8.72,1.85,6.26,37.88,2.07,51.34
"260",206.26,19.86,110.44,64.21,81.89,10.06,3.22,8.47,47.48,2.57,43.97
"261",182.67,15.3,95.42,62.12,66.44,9.13,2.8,8.6,48.17,4.08,45.11
"262",179.82,11.78,97.78,66.21,39.27,9,2.43,8.6,46.78,3.55,49.49
"263",165.7,10.13,90.38,69.77,71.45,13.78,6.06,18.02,73.26,11.35,68.46
"264",168.03,9.59,86.89,60.84,83.86,6.19,1.85,5.29,35.12,2.78,32.69
"265",169.43,8.91,91.59,59.44,65.11,8,2.16,7.11,43.26,4.69,35.97
"266",163.16,7.91,85.51,65.65,69.7,7.33,2.7,8.53,40.38,6.46,40.71
"267",164.59,7.9,88.16,64.09,38.15,5.23,2.05,5.56,35.99,4.16,27.56
"268",171.27,9.17,87.03,60.63,70.83,7.59,2,6.96,38.54,4.15,38.52
"269",159.94,7.87,88.61,60.19,71.07,4.46,1.5,5.26,36.72,3.57,24.95
"270",169.98,6.96,96.96,63.92,68.34,5.71,2.72,6.38,40.83,5.81,28.94
"271",151.73,5.99,80.03,66.83,61.45,4.82,2.19,7.18,42.55,5.47,27.64
"272",154.42,7.05,80.53,69.48,63.2,5.09,2.51,8.33,39.92,7.81,34.4
"273",158.4,6.78,76.46,74.17,57.49,6.37,3.09,9.7,54.81,9.44,38.51
"274",150.37,5.41,78.85,69.29,76.46,4.07,2.15,6.2,31.16,7.94,27.59
"275",165.24,9.05,87.03,70.86,66.39,5.14,2.45,7.69,42.34,8.22,27.26
"276",150.85,6.91,82.27,75.34,72.85,4,2.68,7.25,29.43,12.2,30.53
"277",155.81,6.34,78.92,72.66,73.15,4.7,2.28,7.43,34.31,9.5,28.93
"278",142.41,5.15,72.75,74.91,72.83,4.27,2.35,7.55,31.55,13.16,31.07
"279",155.73,5.94,77.75,70.17,68.24,4.34,1.73,5.17,36.52,6.14,21.8
"280",160,5.81,83.79,81.41,56.24,6.47,3.27,11.15,45.38,13.29,39.47
"281",158.61,4.44,82.13,82.03,57.83,5.44,2.39,9.77,44.36,13.13,32.09
"282",153.84,8.85,76.42,85.76,59.42,5,3.43,11.48,42.42,15.24,38.39
"283",144.75,6.96,74.58,78.54,70.95,3.02,1.88,6.29,27.95,11.73,24.72
"284",159.76,5.88,79.61,84.44,66,4.64,3.34,10,38.48,15.13,36.54
"285",151.92,6.56,76.52,82.87,62.88,4.35,2.76,9.66,36.46,12.28,33.27
"286",157.76,6.66,79.27,86.52,59.81,6.5,4.28,14.47,49.34,14.58,42.32
"287",150.55,5.39,74.7,77.5,68.73,2.84,2.41,6.5,28.2,10,24.6
"288",146.25,6.04,75.49,81.72,62.93,5.43,2.88,10.43,45.12,8.93,34.57
"289",156.21,6,82.82,82.61,55.83,6.4,3.06,12.72,58.16,14.46,42.28
"290",154.28,6.95,80.29,83.09,64.45,5.99,4.01,13.15,55.23,12.83,42.04
"291",154.24,4.15,80.05,75.74,76.55,5.01,2.23,7.79,36.84,11.47,32.93
"292",162.17,6.65,78.64,92.27,46.07,9.58,3.52,17.19,59.38,14.22,55.42
"293",156.94,7.34,79.4,86.41,50.98,7.11,3.13,13.51,43.54,14.3,47.8
"294",153.86,6.71,71.02,83.03,66.06,7.47,3.86,16.36,47.55,15.56,49.69
"295",146.37,7.89,73.55,73.16,62.66,5.38,1.72,6.05,39.68,4.28,32.25
"296",157.9,5.15,79.6,78.82,55.61,10.7,2.76,15.83,56.46,10.2,62.39
"297",162.33,7.42,85.08,70.51,49.52,6.12,1.77,6.99,38.45,4.61,39.47
"298",167.82,6.62,90.14,76.06,61.41,13.51,3.88,19.27,74.32,7.81,71.81
"299",154.39,6.65,82.26,71.35,64.97,11.26,3.65,16.45,68.24,7.97,66.09
"300",164.7,8.55,86.75,76.99,40.38,13.05,3.64,13.51,63.84,6.14,66.65
"301",166.52,7.41,90.11,72.96,33,12.92,3.18,12.66,64.89,4.61,87.02
"302",175.49,6.87,94.86,66.78,44.95,9.77,2.3,9.95,49.29,3.06,70.08
"303",171.88,7.68,89.68,74.69,51.99,14.1,4.12,18.27,75.46,4.8,75.04
"304",168.32,8.05,90.16,64.15,60,9.17,2.75,10.8,52.22,3.16,57.53
"305",165.42,8.17,85.73,67.28,55.77,16.03,4.6,20.09,82.45,3.11,86.54
"306",168.64,7.73,96.82,70.73,57.38,12.35,3.13,18.25,69.2,4.15,74.91
"307",177.58,8.34,100.37,63.84,28.37,9.87,2.48,8.85,54.29,2.93,65.11
"308",164.4,8.56,93.43,68.01,51.63,13.86,3.62,14.27,69.89,4.09,77.79
"309",174.62,7.14,94.12,84.19,26.27,14.4,3.5,15.38,72.15,6.31,68.15
"310",163.68,8.63,89.26,71.08,52.3,9.67,2.76,11.24,59.63,4.29,56.86
"311",168.91,10.98,91.81,81.45,32.82,14.67,4.33,21.81,85.14,9.42,72.82
"312",179.13,10.1,97.4,56.52,85.34,4.61,1.2,4.56,30.09,2.19,28.88
"313",186.97,12.12,102.71,66.95,69.22,8.59,1.9,11.07,60.61,4.87,46.97
"314",188.15,15.43,101.94,68.92,45.72,7.8,1.74,9.2,52.28,4.8,46.06
"315",189.07,16.03,97.4,68.9,63.16,7.69,2.81,13.77,61.55,7.22,45.68
"316",184,17.92,96.12,58.7,51.27,5.55,1.4,6.08,41.78,3.12,34.93
"317",195.92,18.92,105.45,68.56,55.55,7.4,2.91,11.11,63.09,7.36,42.69
"318",178.37,15.23,94.34,77.03,42.69,8.3,3.77,14.19,63.64,9.18,49.61
"319",168.54,10.19,92.51,74.53,44.92,6.15,1.86,10.2,52.55,7.28,34.81
"320",165.12,9.08,88.47,65.47,57.36,5.37,1.78,8.3,39.41,5.15,32.69
"321",164.35,10.66,85.47,63.42,70.38,4.86,1.39,5.75,47.16,4.97,37.25
"322",160.86,8.48,85.7,65.54,51.39,4.96,1.51,7.87,45.1,7.11,30.87
"323",161.64,7.44,84.48,72.34,64.03,4.84,1.52,9.13,43.74,8.82,33.85
"324",159.26,6.26,85.63,75.18,55.41,5.14,2.89,10.23,46,10.61,37.26
"325",164.9,7.89,79.67,69.01,74.9,3.99,1.54,6.71,32.47,6.92,30.77
"326",160.81,8.85,80.78,81.77,63.76,5.87,3.55,14.37,45.1,18.47,41.64
"327",150.33,7.03,74.58,72.28,63.13,3.63,1.19,5.87,28.48,9.39,24.47
"328",151.81,7.27,76.32,71.28,72.67,3.52,1.74,7.7,30.06,9.43,27.11
"329",154.18,5.96,80.37,75.07,67.26,4.66,1.57,8.13,37.22,10.95,26.35
"330",163.56,7.45,83.3,75.16,64.81,4.86,1.63,8.66,42.11,8.73,31.02
"331",149.54,5.95,82.98,81.58,59.35,4.86,2.29,10.46,34.75,11.27,31.12
"332",175.88,6.92,91.34,97.05,33.81,7.93,3.61,15.91,67.19,18.24,51.07
"333",151.16,7.03,78.57,82.14,60.01,4.06,2.35,8.42,40.67,14.28,31.41
"334",153.64,10.09,76.68,86.48,59.84,5.54,3.1,10.84,41.6,14.69,38.8
"335",145.3,5.57,76.47,76.96,72.77,2.91,1.27,4.14,21.57,9.33,20.25
"336",146.82,8.24,73.66,82.26,68.98,5.43,3.02,10.16,37.66,14.92,39.55
"337",150.42,6.79,78.61,79.43,66.32,3.75,1.95,5.69,29.59,8.17,24.78
"338",162.39,6.29,83.4,81.49,58.01,5.45,2.16,8.74,51.23,10.95,34.29
"339",147.69,7.51,71.96,79.63,63.03,5.11,2.04,8.81,40.08,8.94,28.97
"340",151.92,6.19,77.17,79.22,63.33,4.4,1.69,5.73,29.91,4.4,23.49
"341",151.36,7.35,72.38,89.34,53.64,7.67,3.61,16.56,56.34,18.88,43.61
"342",151.43,5.58,79.52,88.24,61.57,5.69,2.85,11.76,40.64,13.56,35.53
"343",145.1,7.11,72.05,80.14,75.36,6.78,1.68,10.58,45.12,9.77,37.07
"344",150.27,6.67,75.86,73.39,75.75,4.72,1.73,6.81,32.51,8.5,26.8
"345",149.89,7.38,74.32,76.39,73.54,5.14,1.56,8.9,37.76,8.86,32.85
"346",149.21,7.18,77.7,76.47,71.98,5.01,1.49,7.11,37.28,6.92,32.26
"347",158.68,7.6,82.99,91.3,44.29,10.36,2.92,19.58,61.94,15.77,62.64
"348",155.55,8.07,77.79,77.99,71.01,6.65,2.43,13.75,50.61,14.8,46.12
"349",157.56,7.06,77.42,76.1,69.45,6.31,1.45,8.64,45.14,5.92,39.81
"350",163.01,6.41,85.55,78.61,41.76,10.15,2.75,12.74,62.75,8.58,58.6
"351",165.42,7.22,85.33,92.59,27.5,14.91,3,20.62,70.8,11.69,62.88
"352",154.37,6.51,82.16,68.47,69.72,8.7,2.51,10.94,49.88,6.29,55.21
"353",165.36,7,83.74,81.56,56.38,14.29,3.6,21.4,80.25,9.6,70.06
"354",158.11,4.89,84.4,67.83,48.89,10.36,2.78,12.05,61.56,5.71,68.84
"355",171.5,8.7,90.32,76.99,32.71,13.92,3,13.14,68.67,4.64,72.52
"356",151.17,8.03,82.74,73.07,38.49,14.02,3.13,13.11,70.27,3.97,76.28
"357",179.57,8.51,91.5,74.46,41.24,13.48,2.91,14.71,70.53,4.07,70.51
"358",170.27,6.24,96.23,70.52,33.29,12.89,2.72,12.75,70.47,4.42,82.92
"359",180.36,10.27,92.9,61.91,74.95,9.29,2.42,8.62,56.16,3.07,59.98
"360",170.08,9.83,92.3,57.1,68.84,7.3,1.67,6.69,44.28,2.8,49.06
"361",176.07,9.37,91.76,71.27,47.15,12.41,2.81,12.75,66.23,3.99,73.6
"362",175.2,8.12,92.34,71.62,52.57,10.19,3.52,13.93,64.37,3.53,66.53
"363",153.26,5.95,78.91,67.98,63.86,8.98,2.63,13.35,63.33,3.12,58.9
"364",165.64,6.19,88.06,71.32,50.28,11.19,3.33,14.76,70.92,6.05,73.23
"365",167.45,6.63,81.91,79.33,39.99,11.16,3.73,17.97,75.52,7.52,63.09
"366",159.84,7.66,79.68,77.07,57.1,10.06,4.07,20.69,71.71,9.94,59.88
"367",150.49,6.26,83.2,64.14,53.37,5.25,1.07,7.15,46.38,4.13,38.2
"368",167.17,7.22,84.05,70.01,30.98,7.39,1.85,11.14,51.79,4.66,50.47
"369",171.05,9.85,85.8,67.66,41.44,6.24,2.12,9.82,53.14,4.74,42.62
"370",167.78,10.27,84.39,64.96,60.04,6.11,2.03,9.74,47.72,5.15,43.78
"371",172.29,10.48,91.74,64.32,65.73,4.61,1.6,7.89,37.04,5.1,32.37
"372",169.41,8.03,90.65,64.39,59.59,5.49,1.69,8.02,44.82,5.38,38.38
"373",170.27,9.92,89.67,72.46,62.28,5.12,2.77,11.01,49.18,9.34,38.56
"374",166.33,7.55,86.24,69.26,75.36,3.7,2.43,7.82,32.94,8.3,29.4
"375",167.33,7.69,91.46,79.96,40.68,6.82,3.78,14.21,55.36,10.74,42.67
"376",164.23,8.43,83.3,72.32,66.27,3.36,2.33,6.77,34.34,5.82,26.34
"377",159.39,8.57,83.05,65.33,60.65,3.61,1.46,6.32,37.21,4.98,25.97
"378",149.3,8.05,74.14,63.72,73.45,3.84,1.26,5.73,36.31,3.41,25.43
"379",168.18,9.28,90.12,72.99,59.07,4.21,2.43,8.54,39.29,7.41,31.87
"380",157.23,8.24,83.84,70.59,71.24,3.77,1.92,6.53,36,7.78,24.29
"381",161.63,7.2,79.94,82.12,68.53,4.63,4.19,12.52,41.71,16.27,39.16
"382",155.91,7.41,74.65,71.94,73.74,3.3,1.69,5.82,28.34,6.55,25.12
"383",157.76,6.9,77.89,77.99,57.97,4.04,2.21,9.46,37.05,9.74,29.09
"384",152.9,6.72,78.06,79.02,67.17,3.81,3.24,9.92,33.94,12.99,44.28
"385",151.85,6.54,74.96,83.07,59.19,3.91,2.75,9.86,42.15,8.42,30.82
"386",150.46,7.67,77.9,81.49,61.76,4.25,3.03,11.05,40.85,11.43,35.48
"387",150.34,5.98,73.65,82.91,61,3.79,3.18,9.66,37.84,9.99,32
"388",159.82,8.72,79.32,87.11,61.44,4.66,3.13,13.09,43.8,12.71,42.21
"389",163.78,4.24,82.91,92.02,48.71,6.78,3.56,15.88,62.74,16.25,50.72
"390",157.61,6.39,79.48,85.54,65.74,4.18,2.78,9.82,42.47,11.25,35.68
"391",151.77,5.54,73.21,84.15,57.76,5.39,3.27,12.53,48.16,12.85,42.33
"392",157.36,7.23,76.46,82.93,72.21,5.74,2.76,10.86,49.94,9.76,38.64
"393",158.49,7.73,73.76,81.01,68.56,4.1,2.27,8.9,38.29,11.46,31.34
"394",151.92,8.6,68.11,82.98,66.39,4.89,2.18,9.87,44.95,11.93,35.67
"395",156.32,7.57,76.53,86.47,57.5,6.11,3.48,14.49,51.84,10.86,46.25
"396",144.07,7.17,68.46,73.07,70.07,4.54,1.36,4.98,40.32,5.82,28.99
"397",150.65,7.62,72.84,78.81,62.12,5.64,2.29,11.4,48.14,7.36,40.95
"398",164.04,8.13,79.92,78.61,69.58,6.85,2.35,10.99,53.57,11.32,43.52
"399",148.77,6.34,73.26,83.8,53.13,8.85,2.92,14.21,63.22,9.76,55.96
"400",163.03,5.37,79.55,80.63,67.63,7.74,3.24,16.16,60.94,14.23,62.68
"401",157.31,6.56,77.02,75.79,72.78,8.04,2.24,12.22,58.45,8.74,55.11
"402",156.87,6.71,78.39,76.87,62.71,10.01,2.94,13.53,61,8.23,58.2
"403",157.8,5.83,81.86,75.78,53.86,8.65,1.91,10.69,52.43,5.42,46.54
"404",166,9.35,88.2,78.31,39.18,12.47,3.14,17.9,77.37,5.97,70.18
"405",149.27,6.94,75.69,70.57,57.97,10.97,2.94,17.31,65.31,6.88,63.47
"406",165.07,9.03,88.85,83.35,36.8,10.48,2.19,13.18,67.2,5.01,54.2
"407",162.01,8.01,82.52,79.17,45.99,14.92,4.51,25.18,91.47,8.06,79.33
"408",170.25,6.56,87.44,69.94,72.53,13.49,4.16,23.56,82.66,7.89,84.63
"409",167.9,10.53,82.91,66.75,61.68,10.22,2.87,14.49,63.16,3.59,61.3
"410",177.24,9.08,92.84,66.62,65.19,6.3,1.12,5.89,42.45,1.14,45.23
"411",176.87,10.51,91.85,62.94,85.57,8.14,1.67,8.55,56.25,2.01,49.39
"412",176.61,11.44,89.82,64.65,77.63,9.58,1.29,9.39,52.73,2.44,55.44
"413",181.55,13.02,96.84,63.45,77.22,8.65,1.54,10.22,54.36,1.88,52.89
"414",193.6,14.02,99.56,63.91,69.38,8.19,1.76,8.52,51.66,3.5,49.81
"415",198.44,14.87,105.1,69.26,48.73,11.06,3.03,16.4,73.48,3.55,70.13
"416",178.52,12.3,95.7,68.55,69.86,8.57,2.29,12.5,53.7,3.81,51.2
"417",181.61,15.11,93.46,59.6,76.34,5.77,1.17,5.25,36.86,1.98,33.42
"418",184.95,11.18,99.27,68.71,43.98,7.66,1.75,10.11,54.99,4.58,51.38
"419",174.39,10.56,90.39,68.35,68.6,7.32,2.36,11.85,56.95,5.71,44.75
"420",169.18,9.97,85.85,63.91,86.95,4.99,1.12,6.49,38.69,2.86,29.73
"421",171.12,11.23,86.69,64.59,71.66,6.03,1.86,10.26,51.05,4.59,40.61
"422",170.99,10.09,92.94,78.16,45.29,6.54,2,10.05,50.95,3.75,38.54
"423",169.71,8.75,86.63,71.89,70.56,5.82,2.22,10.53,53.65,7.26,33.52
"424",167.25,8.71,89.78,68.35,67.38,4.22,1.84,6.82,38.61,4.39,27.99
"425",161.64,9.6,83.22,65.57,64.31,4.94,2.09,8.56,47.33,5.99,33.03
"426",163.33,10.37,86.04,65.92,74.01,3.56,1.91,7.39,36.43,4.9,28.45
"427",168.26,10.16,81.53,71.91,53.49,4.97,2.51,8.78,50.64,7.68,34.62
"428",161.16,9.72,77.46,68.16,73.48,3.89,2.09,7.7,36.3,5.72,28.5
"429",154.05,10.42,76.63,73.9,56.5,4.47,2.1,8.4,38.29,8.38,36.68
"430",163.29,10.75,82.09,83.73,50.38,5.26,3.28,11.59,46.61,12.02,38.51
"431",160.81,9.61,81.22,79.38,48.52,4.39,2.53,10.06,40.91,9.74,36.46
"432",149.2,8.2,70.96,78.17,53.79,4.39,2.38,8.64,48.33,9.96,31.67
"433",158.78,7.84,80.17,77.3,63.91,3.65,1.79,7.36,34.88,9.61,29.37
"434",152.75,9.2,78.48,83.43,65.67,4.48,2.69,10.67,38.23,20.18,45.1
"435",157.02,7.97,76.8,83.93,47.45,4.84,2.21,11.99,46.65,13.16,37.34
"436",160.29,6.39,77.63,87.74,48.85,5.1,2.64,12.59,53.37,17.38,40.83
"437",151.69,6.53,74.31,77.66,62.53,3.28,1.85,6.25,38.7,7.84,26.23
"438",155.77,8.33,76.3,80.67,64.39,3.88,2.07,8.41,39.01,13.42,41.39
"439",171.71,10.67,85.97,91.38,50.69,5.49,3.34,13.82,51.37,19.12,54.79
"440",157.03,7.29,73.07,83.42,65.48,5.03,2.83,13.79,41.3,15.02,48.53
"441",156.56,6.51,76.29,86.22,61.17,4.84,2.43,11.91,41.48,15.2,49.52
"442",161.92,8.08,75.21,86.73,67.62,4.15,2.44,10.83,36.39,16.01,48.24
"443",167.6,8.02,79.18,83.13,69.79,3.56,1.42,7.93,30.67,10.36,38.98
"444",155.98,7.08,78.25,82.4,60.31,4.69,2.47,11.37,39.84,12.47,48.3
"445",158.16,6.16,77.24,81.07,60.97,5.21,2.09,10.27,44.72,11.27,50.38
"446",165.98,7.02,81.55,86.72,64.89,4.51,2.99,11.69,42.99,17.37,46.98
"447",158.66,6.83,75.46,79.65,65.77,4.99,1.58,7.14,42.99,6.87,37.37
"448",157.21,6.08,76.86,73.96,71.78,3.88,1.52,6.19,32.15,6.8,33.96
"449",179.42,9.71,88.43,97.15,17.65,8.84,1.78,13.57,63.71,12.77,42
"450",181.7,9.62,92.93,91.51,57.99,8.61,3.19,20.63,60.13,20.25,83.31
"451",155.9,8.13,77.65,80.58,74.72,5.52,1.76,15.91,39.92,15.42,56.31
"452",163.47,7.4,78.74,86.14,63.22,10.58,3.22,22.8,70.17,15.58,80.37
"453",152.63,6.33,73.63,77.45,63.99,7,1.66,9.94,49.35,6.25,44.22
"454",168.78,8.24,82.11,74.57,72.09,7.42,2.26,12.07,50.88,10.5,56.81
"455",166,9.53,80.81,77.18,57.55,11.23,2.43,15.79,67.91,7.27,65.55
"456",165.25,6.38,84.34,65.59,75.08,7.58,1.86,11.31,46.97,6.46,54.19
"457",176.79,10.06,83.48,67.1,61.18,11.33,2.39,12.53,66.6,4.7,59
"458",163.69,9.92,76.4,62.08,72.12,6.25,1.25,4.62,43.54,3.14,34.21
"459",177.44,8.31,92.77,67.25,58.63,12.28,2.53,15.02,73.46,4.91,70.47
"460",173.5,10.63,88.09,61.28,23.14,8.23,1.74,6.4,41.07,2.76,45.77
"461",182.44,11.22,96.2,68.06,59.64,12.34,2.36,14.45,68.02,3.02,58.69
"462",197.87,14.78,100.28,61.26,65.75,11.95,3.13,15.04,68.04,3.12,68.59
"463",196.86,12.68,107.58,62.92,59.25,10.19,2.39,14.84,68.64,3.93,69.01
"464",181.13,9.72,93.73,64.12,53.17,8.85,1.89,9.29,52.98,2.12,41.98
"465",182.41,11.95,87.33,62.73,69.4,7.62,1.59,9.82,51.09,2.55,57.91
"466",171.37,9.35,88.11,60.33,67.82,8.52,1.42,9.42,55.17,2.39,40.87
"467",177.01,6.8,88.07,58.26,47.75,7.85,1.65,9.54,55.38,3.09,49.12
"468",185.62,9.13,100.81,56.32,59.86,5.12,1.12,5.8,37.64,2.48,36.65
"469",179.49,7.8,95.52,70.43,55.84,12.87,4.03,21.87,81.05,6.22,97.94
"470",176.45,9.37,91.14,61.93,68.89,6.76,1.53,9.02,58.27,4.18,40.38
"471",173.84,8.02,85.67,62.81,66.16,5.89,1.41,8.27,44.39,3.63,41.46
"472",171.04,11.12,88.24,66.1,53.47,6.69,1.48,7.81,52.31,4.55,52.88
"473",174.41,8.85,88.61,76.3,55.61,7.13,2.31,13.79,53.89,8.86,66.78
"474",169.34,8.83,85.64,58.65,73.32,4.22,1.24,5.11,40.28,1.92,33.82
"475",164.71,9.76,87.29,64.99,64.57,4.96,1.38,8.17,44.64,5.02,36.4
"476",166.29,7.42,83.92,66.89,62.67,4.23,1.33,6.94,36.97,4.97,35.32
"477",175.5,10.14,89.15,72.41,52.81,4.27,1.42,9.7,40.21,7.33,41.24
"478",172.16,9.03,87.61,72.35,58.56,4.88,1.56,9.87,39.82,9.48,37.87
"479",160.43,5.61,81.99,71.47,49.32,4.83,1.93,10.43,37.61,8.26,45.54
"480",166.86,10.01,84.86,74.14,55.92,4.23,1.51,8.79,39.38,8,37.26
"481",159.47,8.78,81.17,65.76,70.69,3.08,1.16,6.04,26.54,7.15,35.95
"482",180.94,10.11,87.33,83.13,31.77,4.91,1.39,9.96,43.69,9.87,42.48
"483",163.95,8.6,86.4,73.7,63.7,3.17,1.62,7.01,29.71,9.99,42.84
"484",183.78,9.37,85.9,76.09,63.15,3.75,1.29,6.74,29.64,11.08,34.24
"485",157.19,7.15,79.01,69.63,71.75,2.8,0.86,4.7,26.37,8.57,37.36
"486",169.09,6.19,83.49,86.79,46.87,4.83,1.59,8.6,37.24,10.44,39.51
"487",172.14,7.46,87.88,86.49,40.22,4.32,1.9,11,40.93,11.58,54.25
"488",148.09,7.56,74.94,78.49,62.13,3.63,1.6,6.57,36.61,11.14,37.89
"489",162.09,6.36,80.32,84.7,52.19,4.97,2.01,12.54,40.94,14.35,48.03
"490",156.14,7.82,81.75,80.75,54.63,3.82,1.79,8.74,37.85,10.68,43.51
"491",162.77,9.79,78.68,84.53,59.33,4.12,1.9,10.03,37.87,14.81,48.69
"492",145.33,8.41,74.62,85.34,60.15,4.47,2.08,10.68,38.63,13.63,54.48
"493",160.65,7.08,74.16,83.88,60.48,4.02,2.28,11.73,35.99,14.83,49.22
"494",145.32,7.31,71.5,84.91,59.07,4.26,2.23,10.8,36.52,13.87,50.34
"495",154.78,8.99,75.89,84.63,56.69,4.94,2.31,10.7,41.57,10.55,55.97
"496",158.39,8.53,74.89,78.23,69.98,2.52,1.5,5.72,27.64,10.29,35.5
"497",157.51,7.26,77.36,86.6,52.19,6.06,2.31,13.8,50.18,15.28,62.81
"498",154.15,7.09,73.63,79.98,66.02,3.5,1.65,7.16,34.71,10.6,38.61
"499",168.09,8.62,81.17,90.93,56.73,5.8,2.55,14.34,56.15,22.05,63.6
"500",171.03,6.48,83.91,93.43,43.01,8.37,2.83,17.78,60.13,19.86,57.53
"501",173.38,10.94,82.36,90.16,52.16,6.6,2.05,15.1,53.72,16.38,54.97
"502",154.42,8.25,79.74,80.38,57.31,4.34,1.57,9.73,40.01,6.99,47.22
"503",149.22,7.88,73.46,82.37,58.77,7.75,2.28,14.4,53.77,11.89,69.14
"504",160.56,9.88,79.03,75.35,70.03,4.74,1.72,9.1,41.22,7.51,42.17
"505",152.43,7.96,76.56,72.29,66.89,5.76,1.49,9.27,43.78,5.38,45.59
"506",165.14,8.69,78.52,75.68,56.15,8.45,1.89,14.99,54.61,9.02,70.72
"507",168.43,8.79,89.43,73.33,45.73,8.24,1.63,11.66,52.93,5.62,57.58
"508",171.34,10.11,85.49,70.52,60.67,8.01,1.58,11.95,54.36,5.76,62.61
